NZ_JXTT01000001	VERSION	0	0	NZ_JXTT01000001.1	805303257
NZ_JXTT01000001	STRAIN	0	0	RKS2993	RKS2993
NZ_JXTT01000001	CDS	1	1025	NA	NA
NZ_JXTT01000001	CDS	1433	1689	NA	NA
NZ_JXTT01000001	TAXONOMY	0	0	Bacteria	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Salmonella.; Salmonella enterica subsp. salamae
NZ_JXTT01000002	VERSION	0	0	NZ_JXTT01000002.1	805303296
NZ_JXTT01000002	STRAIN	0	0	RKS2993	RKS2993
NZ_JXTT01000002	CDS	370	591	NA	NA
NZ_JXTT01000002	CDS	1181	2434	NA	NA
NZ_JXTT01000002	CDS	2667	3998	NA	NA
NZ_JXTT01000002	CDS	4100	5935	NA	NA
NZ_JXTT01000002	CDS	5932	9477	NA	NA
NZ_JXTT01000002	CDS	9470	12358	NA	NA
NZ_JXTT01000002	CDS	12536	15907	NA	NA
NZ_JXTT01000002	CDS	15923	16243	NA	NA
NZ_JXTT01000002	CDS	16228	16635	NA	NA
NZ_JXTT01000002	CDS	16632	17195	NA	NA
NZ_JXTT01000002	CDS	17186	17656	NA	NA
NZ_JXTT01000002	CDS	17841	18635	NA	NA
NZ_JXTT01000002	CDS	18642	19517	NA	NA
NZ_JXTT01000002	CDS	19730	21976	NA	NA
NZ_JXTT01000002	CDS	21989	22519	NA	NA
NZ_JXTT01000002	CDS	22870	23016	NA	NA
NZ_JXTT01000002	CDS	23202	23897	NA	NA
NZ_JXTT01000002	CDS	24079	24792	NA	NA
NZ_JXTT01000002	CDS	24962	25180	NA	NA
NZ_JXTT01000002	CDS	25371	26411	NA	NA
NZ_JXTT01000002	CDS	26510	27706	NA	NA
NZ_JXTT01000002	CDS	27699	29858	NA	NA
NZ_JXTT01000002	CDS	30451	31479	NA	NA
NZ_JXTT01000002	CDS	31493	32512	NA	NA
NZ_JXTT01000002	CDS	32522	33784	NA	NA
NZ_JXTT01000002	CDS	33902	34837	NA	NA
NZ_JXTT01000002	CDS	34809	35516	NA	NA
NZ_JXTT01000002	CDS	35628	37046	NA	NA
NZ_JXTT01000002	CDS	37399	38160	NA	NA
NZ_JXTT01000002	CDS	38217	39053	NA	NA
NZ_JXTT01000002	CDS	39419	40597	NA	NA
NZ_JXTT01000002	CDS	40720	41583	NA	NA
NZ_JXTT01000002	CDS	41687	42142	NA	NA
NZ_JXTT01000002	CDS	42284	43513	NA	NA
NZ_JXTT01000002	CDS	43544	43816	NA	NA
NZ_JXTT01000002	CDS	43937	44779	NA	NA
NZ_JXTT01000002	CDS	45010	45762	NA	NA
NZ_JXTT01000002	CDS	46033	46578	NA	NA
NZ_JXTT01000002	CDS	46655	48172	NA	NA
